0
Меҳнатобод маҳалла (Юнусобод тумани)
Нодирабегим
Матонат
Моҳинур
Самарқанд Дарвоза
Қатортол-1
Қўрғонтепа
Азамат
Дилобод
Пахтакор
Нур
Минглола
Бунёдобод
Ахмад Дониш
Тузел
Гулобод
Нуробод
Камолот
Шоштепа
Жарбоши
Бешариқ
Кохота
Уч-Қахрамон
Миробод
Жар-Ариқ массив
Хабибий
Катта Хирмонтепа
Оқилон
Ойбек
Бўстон
Яшнобод
Бўрижар
Олмазор
Боғбон
Ҳусниобод
Оқмачит
Камолон Дарвоза
Қушбеги
Олимлар
Чиғатой Дарбоза
Ғалаба
Боғкўча маҳалла
Янги Ҳаёт маҳалла
Уйғониш
Тарнов боши
Аҳил
Шоҳимардон
Ипакчи
Биродарлик
Бўз сув
Дилбоғ
Хожиобид
Жомий
Амир Темур
Чорбоғ
Тепақўрғон
Минор
Юнус ота
Шодлик
Янгибоғ
Лутфий
Чустий
Янгиариқ
Мовароуннаҳр
Учувчилар
Абдулла Қодирий
Ширинобод
Ийкота
Тақачи
Элобод
Хoнтепа
Белтепа
Ёрқин ҳаёт
Халқабоғ
Бирлик
Миришкор маҳалла
Салар
Гулсарой маҳалла
Эски-Жарариқ
Орзу
Шахристон
Бешқўрғон
Қашқар
Зиёлилар
Қуйи Дархон
Хислат
Иттифоқ
Олимпия
Чўлпон
Тепа
Чашма
Нодира
Асалобод
Мухтор Ашрафий
Хамид Олимжон
Чингелди
Юқори Бешқўрғон
Шўртепа
Қатортол
Янги Сергели
Ватандош
Гуручариқ
Ботирма
2-Чарх Камолон
Бектўпи
Шахрисабз
Арғин
Боғи бўстон
Юртобод
Хадра
Хонтўпи
Боғзор
Бошлиқ
Бўз
Мурувват
Мойариқ
Нурафшон маҳалла
Маърифат
Ибн Сино
Шон-Шухрат
Ватанпарвар
Иқбол маҳалла (Бектемир тумани)
Қоратош
Чорсу
Қубай-тепа
Мингчинор
Ўқчи
Шифокорлар
Қипчоқ аҳоли яшаш пункти
Аҳмад Югнакий
Ўрда
Катта Қўйлиқ
Себзор
Шухрат
Чўпон-Ота (Чилонзор тумани)
Хосиятли
Мархамат
Чароғон
Меҳригиё
Собиробод
Ватан
Ёш Авлод
Кўксарой маҳалла
Намуна
Зиё
Янги Шаҳар
Шароф Рашидов
Қумарик
Парвона
Беш бола
Уйсозлар
Хончорбоғ
Кенгмакон
Юқори Себзор
Шарқ тонги
Боғистон
Эшонгузар
Хирмонтепа
Мирза Ғолиб
Соҳибкор
Истиқлол
Мустақиллик
Табассум
Дўстлик
1-Чарх Камолон
Ат-Термизий
Армуғон
Шайхонтохур
Ташисти
Шодиёна
Мирзакалон Исмоилий
Зангиота
Мехржон
Беғубор
3-Чарх Камолон
Тонг
Ҳазрати Имом
Абу Бакр Шоший
Янги Миробод
Фозилтепа
